,Study_number,Rs_annual,Study_midyear,geometry,color
5028,6505.0,983.0,1149120000.0,POINT (11.96666667 55.88333333),#47a400ff
5023,6505.0,672.0,1149120000.0,POINT (11.96666667 55.88333333),#319800ff
5033,6505.0,661.0,1180656000.0,POINT (11.96666667 55.88333333),#309800ff
5024,6505.0,728.0,1149120000.0,POINT (11.96666667 55.88333333),#359b00ff
5027,6505.0,818.0,1149120000.0,POINT (11.96666667 55.88333333),#3b9e00ff
5026,6505.0,568.0,1149120000.0,POINT (11.96666667 55.88333333),#299500ff
5025,6505.0,609.0,1149120000.0,POINT (11.96666667 55.88333333),#2c9600ff
5039,6511.0,1044.0,1275350400.0,POINT (109.5255 36.42333333),#4ca600ff
5040,6511.0,1393.0,1275350400.0,POINT (109.5255 36.42333333),#65b300ff
5067,6555.0,1656.0,1180656000.0,POINT (-87.18000000000001 21.21),#79bc00ff
5072,6558.0,689.0,1117584000.0,POINT (12.05 55.41666667),#329900ff
5070,6558.0,541.0,1117584000.0,POINT (9.633333332999999 55.95),#279400ff
5074,6558.0,636.0,1117584000.0,POINT (9.866666667000001 55.4),#2e9700ff
5535,6561.0,577.0,1243814400.0,POINT (118.15 27.05),#2a9500ff
5534,6561.0,1001.0,1243814400.0,POINT (118.15 27.05),#49a400ff
5075,6566.0,548.0,1086048000.0,POINT (115.0591667 26.74416667),#289400ff
5076,6566.0,632.0,1117584000.0,POINT (115.0591667 26.74416667),#2e9700ff
5077,6566.0,758.0,1149120000.0,POINT (115.0591667 26.74416667),#379c00ff
5078,6567.0,800.0,1117584000.0,POINT (115.0591667 26.74416667),#3a9d00ff
5082,6575.0,216.0,1275350400.0,POINT (11.88083333 50.13166667),#0f8800ff
5081,6575.0,212.0,1243814400.0,POINT (11.88083333 50.13166667),#0f8800ff
